pcode,pname,l_pname,dcode,dname,l_dname,vcode,vname,l_vname
01,Vientiane Capital,ນະຄອນຫຼວງວຽງຈັນ,0102,Sikhottabong,ສີໂຄດຕະບອງ,0102008,Vattaignai-Tha,ວັດໄຕໃຫ່ຍທ່າ
01,Vientiane Capital,ນະຄອນຫຼວງວຽງຈັນ,0102,Sikhottabong,ສີໂຄດຕະບອງ,0102009,Akat,ອາກາດ
01,Vientiane Capital,ນະຄອນຫຼວງວຽງຈັນ,0102,Sikhottabong,ສີໂຄດຕະບອງ,0102010,Muangva-Thong,ເມືອງວາທົ່ງ
01,Vientiane Capital,ນະຄອນຫຼວງວຽງຈັນ,0102,Sikhottabong,ສີໂຄດຕະບອງ,0102011,Muangva-Tha,ເມືອງວາທ່າ
01,Vientiane Capital,ນະຄອນຫຼວງວຽງຈັນ,0102,Sikhottabong,ສີໂຄດຕະບອງ,0102012,Sikhai-Tha,ສີໄຄທ່າ
01,Vientiane Capital,ນະຄອນຫຼວງວຽງຈັນ,0102,Sikhottabong,ສີໂຄດຕະບອງ,0102013,Sikhai-thong,ສີໄຄທົ່ງ
01,Vientiane Capital,ນະຄອນຫຼວງວຽງຈັນ,0102,Sikhottabong,ສີໂຄດຕະບອງ,0102015,Gnapha,ຍາຜະ
01,Vientiane Capital,ນະຄອນຫຼວງວຽງຈັນ,0102,Sikhottabong,ສີໂຄດຕະບອງ,0102016,Sibounhuang-Tha,ສີບຸນເຮືອງທ່າ
01,Vientiane Capital,ນະຄອນຫຼວງວຽງຈັນ,0102,Sikhottabong,ສີໂຄດຕະບອງ,0102017,Sibounhuang-Thong,ສີບຸນເຮືອງທົ່ງ
01,Vientiane Capital,ນະຄອນຫຼວງວຽງຈັນ,0102,Sikhottabong,ສີໂຄດຕະບອງ,0102018,Sixomxun,ສີຊົມຊື່ນ
01,Vientiane Capital,ນະຄອນຫຼວງວຽງຈັນ,0102,Sikhottabong,ສີໂຄດຕະບອງ,0102019,Nonsavang,ໂນນສະຫ່ວາງ
01,Vientiane Capital,ນະຄອນຫຼວງວຽງຈັນ,0102,Sikhottabong,ສີໂຄດຕະບອງ,0102020,Kaoliao,ເກົ້າລ້ຽວ
01,Vientiane Capital,ນະຄອນຫຼວງວຽງຈັນ,0102,Sikhottabong,ສີໂຄດຕະບອງ,0102021,Dankham,ດ່ານຄຳ
01,Vientiane Capital,ນະຄອນຫຼວງວຽງຈັນ,0102,Sikhottabong,ສີໂຄດຕະບອງ,0102022,Nonkhilek,ໂນນຂີ້ເຫຼັກ
01,Vientiane Capital,ນະຄອນຫຼວງວຽງຈັນ,0102,Sikhottabong,ສີໂຄດຕະບອງ,0102023,Nonkeo,ໂນນແກ້ວ
01,Vientiane Capital,ນະຄອນຫຼວງວຽງຈັນ,0102,Sikhottabong,ສີໂຄດຕະບອງ,0102024,Phonsavat-Nua,ໂພນສະຫວາດເໜືອ
01,Vientiane Capital,ນະຄອນຫຼວງວຽງຈັນ,0102,Sikhottabong,ສີໂຄດຕະບອງ,0102025,Phonsomboun,ໂພນສົມບູນ
01,Vientiane Capital,ນະຄອນຫຼວງວຽງຈັນ,0102,Sikhottabong,ສີໂຄດຕະບອງ,0102026,Tatthong,ຕາດທອງ
